t_s,scenario,N_rpm,MAP_Pa,MAP_commanded_Pa,altitude_m,fuel_flow_kg_s_per_cyl_1,fuel_flow_kg_s_per_cyl_2,fuel_flow_kg_s_per_cyl_3,fuel_flow_kg_s_per_cyl_4,EGT_K_1,EGT_K_2,EGT_K_3,EGT_K_4,CHT_K_1,CHT_K_2,CHT_K_3,CHT_K_4,p_oil_Pa,T_oil_K
0.0,endurance,5000.170963836266,120679.87377015498,120000.0,5500.0,0.0012560756886113825,0.0012345460991810585,0.00123718095014621,0.0012343341929360293,964.4121353478794,963.1605537546443,964.7664538652485,959.5780330347873,431.2226742349753,429.5596933001201,430.3365039135499,429.51955912629893,478104.50716462574,290.3631101585976
1.0,endurance,5004.122567637651,119898.73506465327,120000.0,5500.0,0.001238982498744687,0.0012493870752946419,0.0012300785204763481,0.0012220867317858876,964.0626463582346,961.9315509853598,959.4320014524994,961.6445753048448,429.188527901383,428.4629229828435,428.1636615762127,429.69276328722054,546835.9433819287,289.6668679220395
2.0,endurance,4996.282019852456,120192.49690437395,120000.0,5500.0,0.0012497784135492127,0.0012371556227339772,0.0012476370545391794,0.001253819205834023,962.8587697603189,961.6456515487723,963.9679838297665,963.7677741146612,430.75493822869015,428.3715446814704,428.9945125299202,428.81795849956006,533679.6228671257,290.026434555197
3.0,endurance,5002.639021062478,119630.6049842621,120000.0,5500.0,0.0012580725845175859,0.001251077470887555,0.0012486633685627328,0.001245863085903025,965.1840217616327,960.6087229536492,964.5005419492352,964.4782362998023,427.88840688313275,430.0031555623301,429.4057041135658,430.43764815633745,540154.3861601016,289.88175914235086
4.0,endurance,5001.714257586588,119561.8691556279,120000.0,5500.0,0.0012483062458636225,0.0012395759238933474,0.0012469894998654476,0.0012344030205725764,965.4450857192905,964.4830865895944,962.9166325832969,964.5365969469227,430.91588062163436,431.44730097377374,428.08254908983554,430.5392572718983,544675.0396408569,289.80613921981364
5.0,endurance,4994.966675325115,120628.59430673657,120000.0,5500.0,0.001225221755324868,0.0012479134931806597,0.00125703298804019,0.0012210284389190154,962.6676469517689,960.6542489977029,963.7607908488073,966.3014328940848,431.67968148944794,427.8780110173922,429.0811764545547,430.35967055360663,550246.5603587561,290.32121064427827
6.0,endurance,4996.269240012047,120148.56575481872,120000.0,5500.0,0.0012406721653431152,0.0012383502148220241,0.0012317644962781945,0.0012456838120389843,963.8884418854672,963.0867143775828,962.8293067533342,960.7028494916561,429.1699497931343,430.8625751316224,429.4655672034097,428.2164281434376,549021.9111330465,290.4302654084829
7.0,endurance,5010.540435143126,120031.25608469587,120000.0,5500.0,0.001235153167883027,0.0012229148791939397,0.0012573056136615077,0.0012727629024948505,961.6308127582878,961.9785073522871,964.4650602300802,961.6119917619087,429.38556709328356,429.3062877608337,429.8480843475678,430.75094390367644,542460.0350468595,290.8189100957801
8.0,endurance,4997.900555519997,120163.8992678617,120000.0,5500.0,0.0012143456101593357,0.0012228862971981262,0.0012507547069530163,0.0012335553530586092,964.4325124796808,964.3573711423647,965.9172403492091,964.8964007520879,430.67311681044237,429.54445412961155,428.95784028371287,428.9245666825501,539909.4773968463,288.7701708859869
9.0,endurance,4997.262782089399,119953.71547424576,120000.0,5500.0,0.0012440005878174942,0.001236673166838881,0.0012170078244470928,0.0012399814458549216,963.7233742067899,965.4416338220232,964.4284104239672,961.9855612604445,428.93234890015106,431.6667229826515,430.41276341429295,431.48756528301357,552996.9197543883,289.0819163333946
10.0,endurance,5001.926346511387,120229.08350241852,120000.0,5500.0,0.0012478224965694975,0.001247602737021873,0.00124338564174083,0.0012430391215781298,960.2676827505467,962.941880266367,961.7774432307004,963.5248572439483,429.1885792002122,430.27464621143866,430.4752011699557,429.9648178252843,543930.5378198694,289.99294668494997
11.0,endurance,4997.761010535189,119917.74936788362,120000.0,5500.0,0.0012347280245290078,0.0012456928379179118,0.0012410535196941365,0.001248091506279698,960.6153860095393,965.0482404895453,961.747290159034,961.804118260195,429.458682475414,429.0927408725405,429.94725065577404,429.0819606838107,537002.3093456953,289.054197191621
12.0,endurance,5006.559916626337,120022.12916431864,120000.0,5500.0,0.0012263907584208087,0.0012409823428022031,0.0012215709866055986,0.0012630847340986847,960.2237263121535,964.2301880420266,964.3599339613639,960.3726671250545,429.95640197869403,430.6532975004415,430.1237007460376,429.9171417343591,547095.1805055949,290.06090454888863
13.0,endurance,5001.682126440385,119936.64422675803,120000.0,5500.0,0.0012487183301338025,0.001229196956972118,0.0012507032085912909,0.0012346082118824078,961.0913758866138,964.0031805442794,966.6585937357828,965.1960390559169,429.1404756326731,430.3541851322744,429.20191634055436,429.53210600413945,542797.3395643753,287.58278178309934
14.0,endurance,5000.958073830812,119485.195405591,120000.0,5500.0,0.001232224520734123,0.0012225829974343164,0.0012220597462246827,0.001229173625312968,964.9238772233326,966.6047653276627,963.2222724256965,965.4562644998621,429.39214481339707,427.744152635483,429.80604207629716,430.1017737234183,540206.6143245021,290.2022242342129
15.0,endurance,5002.862781238046,119568.29621618315,120000.0,5500.0,0.0012225526742523692,0.0012381328942931672,0.001238259384783779,0.0012365022678084263,965.2471761383382,966.7238602115543,962.4393885967679,964.670456039061,430.5970565732027,430.36928188069913,430.70361174740543,429.26688149024307,546048.7288958565,291.9244819358595
16.0,endurance,5004.0183277969,119690.05316554153,120000.0,5500.0,0.0012484193624235985,0.0012565429936486074,0.0012454570605042999,0.0012338872719323208,966.3588437987786,960.7731485396097,964.2795327260474,963.2403314838012,428.46245973509826,430.87557514385867,430.0040130539771,428.4893272831767,545358.3388810991,289.46839957108864
17.0,endurance,4990.4860574891645,119655.54743730002,120000.0,5500.0,0.001244148742373622,0.001248766689153278,0.0012429328485447748,0.001241438832280982,964.2126626470221,962.850730428805,965.6265918406201,963.5699659291623,429.95004701274945,430.1969244518215,428.59895661997126,428.946898583926,549992.5926684891,290.23530869036097
18.0,endurance,4998.586919606924,120170.74176440574,120000.0,5500.0,0.0012349020431830762,0.001244335058292418,0.0012326157393938283,0.001244303447271665,960.1172775280975,965.9345222200668,962.2467668873416,960.1102002387452,429.4322837656887,429.28512926555754,429.8085238788762,428.5108748514276,544337.0250972413,293.52356768836796
19.0,endurance,4993.606661396284,120168.85778784964,120000.0,5500.0,0.001237022746309789,0.001243268424123156,0.001218396042608561,0.0012265957626610008,964.1920017031408,963.195846593945,966.5431589939175,961.8630878481928,429.83062498743215,432.5692469128136,428.8905640238578,428.7522919667998,542174.0466738145,289.85543732116435
20.0,endurance,5004.220836400613,120064.78793639879,120000.0,5500.0,0.0012314881748266672,0.0012435018737660113,0.001273620166303177,0.0012566595541000445,957.7083443974891,962.9886488055469,961.5225015888336,964.5172076615459,429.48286197965166,431.58882120827093,430.58736102389463,430.54652835273504,543282.5523984227,289.8597023466925
21.0,endurance,5001.700899644373,120647.63989570939,120000.0,5500.0,0.0012475095165861846,0.0012365212612888965,0.001256700639390287,0.0012432622454700332,963.1174525057922,961.6899289554115,962.1406980798032,962.0005890732816,426.8637683005219,430.6729716606739,430.2226030297036,429.4418548686966,547579.6157903359,290.33798777953336
22.0,endurance,5001.857837394848,118762.61822521067,120000.0,5500.0,0.0012379869452262317,0.001247482209269051,0.0012608526454495248,0.001263714210904111,966.1243591241761,960.9494635956365,958.8773398985611,964.4136217821493,429.68374129562636,430.6186787146282,429.5302410966717,429.87588042379923,534849.7520330067,290.34800965515893
23.0,endurance,4997.775507735629,120174.99267885213,120000.0,5500.0,0.001246579059110129,0.0012394238051531424,0.0012448095060783211,0.001240709542715251,964.7910816349926,964.2761685296274,962.1782498946611,962.0968788705303,431.39986423826633,429.5545299649596,430.64793322284123,430.0495111905595,539529.1346458093,289.1510262030456
24.0,endurance,5000.6006284474715,120128.3272103567,120000.0,5500.0,0.001248501896043776,0.0012251572863063462,0.0012334990930794815,0.0012397012151995526,966.4741815530307,958.5523254914833,964.1509059289514,962.1925909155086,430.0875028031189,429.1641465539955,430.0206765238451,431.22076350096233,544120.6796155755,290.3333999424778
25.0,endurance,5001.864289442175,119624.84323974841,120000.0,5500.0,0.0012476165805909965,0.0012382930619445592,0.0012308060102222706,0.0012404000565306517,962.8181056858397,964.779642223384,963.1870041827405,962.2137985177471,431.1120970359974,430.64451322295565,430.92585489821005,430.2637928222903,541801.2021261167,289.48090659610165
26.0,endurance,4998.603300024739,120473.84530490616,120000.0,5500.0,0.0012422669730381855,0.0012224781092891738,0.00124039341942573,0.00122330625835021,963.6044143008602,960.8650433643123,960.744810376307,963.5098415405789,429.57791113446706,427.9943637604861,430.4043491783471,431.81922214876,534942.8183768346,291.7198497187779
27.0,endurance,4996.561052878859,119752.95469041761,120000.0,5500.0,0.0012386586165505358,0.0012229442567181833,0.001256998978271574,0.0012469921181778915,961.7697742291092,962.7185283234921,960.2399637568033,962.5771671523563,430.5923386117157,427.9408356881327,429.21988513132453,429.80291719592356,547590.8938275295,291.24933055274056
28.0,endurance,4997.7137352208165,119629.84656171208,120000.0,5500.0,0.0012464673014773318,0.001236370839205104,0.0012370314260091355,0.0012542821552545887,966.652158373406,963.8044177750041,962.8882530832734,964.4152065626881,427.7686096308464,429.6378763969247,428.59554861482115,432.04555329891593,545950.6967356786,290.0413698477484
29.0,endurance,4999.02817685372,118742.52197972109,120000.0,5500.0,0.0012497234267172166,0.001261096876577963,0.0012318346208159258,0.0012493586083044787,964.717768945855,960.1764273004599,965.1441633271002,965.9822447841505,429.8846055785873,429.5929434655704,430.4440889506697,428.1153714849011,542816.1006125868,290.95434195721504
30.0,endurance,4993.787823342483,120496.28560457662,120000.0,5500.0,0.0012356886679607032,0.001215057857428048,0.0012395661859052924,0.0012288183344206147,963.9112019138012,960.9284003310661,965.3732344500806,961.7950219889982,430.01248295543513,429.0621455168434,429.3332201481176,430.84788550492505,543426.0893294393,289.5049679088043
31.0,endurance,4993.7424599272135,120579.97563695053,120000.0,5500.0,0.0012499716848514925,0.0012368264800456821,0.0012438975833098114,0.0012281025840719622,961.2429928623301,961.6203072157797,963.9795370686854,963.8643744209324,428.91082252940305,430.3939000565712,430.44081900117754,429.8290336245706,547541.6399370666,289.6126375493923
32.0,endurance,4999.43489432359,120236.42933746331,120000.0,5500.0,0.001240455944662564,0.0012507297130039117,0.001225334301260669,0.0012585703999259705,961.7101396602282,962.9432869327816,960.5175972345622,964.4731272724133,430.92997683347227,430.72717238889453,430.48950043253797,428.09898219031845,538438.8568268985,289.4374370087598
33.0,endurance,4995.326328664005,120561.34761547933,120000.0,5500.0,0.001243167615387608,0.0012405746496337462,0.0012469281149569366,0.0012290699544265952,961.4559811762011,961.5097586526698,964.2679245306682,963.9558753909386,430.23421792804794,430.73450857780534,428.29882460123684,429.09563107403517,543087.3875676534,288.5512568928219
34.0,endurance,4997.339123858335,120507.01445145188,120000.0,5500.0,0.0012545608621321825,0.001254239012561901,0.001241412186587136,0.0012382481300568337,965.4317320130867,962.5273906398493,963.9491606130861,965.9232404809686,429.28855465990887,429.04557315934346,429.64675418695043,430.25450463907805,544761.7421774636,290.0558577732106
35.0,endurance,5002.782100676702,119200.20062803867,120000.0,5500.0,0.0012302159434103117,0.0012429038269963365,0.001229354829267946,0.0012242298412052204,960.8570429239468,961.4363547862852,962.9157328510868,961.2274310007522,429.89102429877676,431.3523496029416,429.5084991511336,430.9308243710268,543791.8558077345,288.78017650064317
36.0,endurance,4998.717952125057,119509.0826292372,120000.0,5500.0,0.0012504075336445106,0.0012265698776146503,0.0012572899082466155,0.0012480529986461514,959.2280624319727,964.8413654619417,966.378715357015,961.6916352095062,430.6413776731654,427.8577437285745,429.90828207192175,427.99473609858893,544761.6520465317,288.11203724991736
37.0,endurance,4986.835648962957,120198.04658429248,120000.0,5500.0,0.0012692683191260128,0.001233486854380113,0.0012511797342811635,0.0012422521794864276,962.6256731534861,964.5034512029436,966.5574933912491,960.8024266583576,430.2200224042928,430.0012608902093,428.2317797896156,431.27083632750816,552096.490652609,288.9472280113161
38.0,endurance,5008.689502476659,120028.07305906949,120000.0,5500.0,0.0012388526760587781,0.0012595343624742818,0.001243700554567332,0.0012448886093985097,966.3080325820081,965.8491224717314,965.058981468568,960.4715828648543,428.083735119031,430.7822666969663,428.7294059346327,429.80460900585757,536979.3371230192,289.71631347127186
39.0,endurance,4993.606524368756,120815.08702595453,120000.0,5500.0,0.001228234925267036,0.001239364588913133,0.0012385430627202489,0.0012558445962884987,960.4328875205385,963.2059985678931,962.8542140975779,964.3325337151664,430.12814223945674,429.19237892633424,429.89571145140104,429.2814942780337,544690.2732852495,289.79741983417534
40.0,endurance,4996.722154531361,119986.22148869219,120000.0,5500.0,0.0012453925059766335,0.001268995236945851,0.001234782799290072,0.0012446836430676112,966.1987560759678,959.1163452807201,959.7866062374661,960.8953639325039,429.5418889174408,432.0961022417688,430.04749243267105,430.864200801956,541239.5003448077,287.4362762357009
41.0,endurance,4988.431808202797,120509.30961783644,120000.0,5500.0,0.0012431722715303029,0.0012247655938564385,0.0012547429803,0.0012217818297021589,965.5411668791412,966.1753643320675,961.7430358816229,961.0564485566044,430.5004525109075,428.5608368816451,430.51801191747336,428.4608866823121,546387.5898996107,289.99386694355337
42.0,endurance,4997.836108116691,119552.15765868785,120000.0,5500.0,0.0012438264033944148,0.0012173927726325403,0.0012374540096406108,0.0012359625979418596,964.6294024883134,960.7650419223852,966.6995589099264,962.6495210871742,428.51795793800926,431.0422042097795,431.3190564975167,429.4683534603018,537894.3329017088,289.91605296864594
43.0,endurance,4996.547941325793,119843.98323011238,120000.0,5500.0,0.0012602166030018763,0.001245741404075075,0.0012426825499606288,0.0012451719799842127,963.1565030201305,964.9558183571756,965.0312628945259,962.533249190424,429.7612138523176,432.0697331390874,430.07772460644816,429.47027207688757,552598.1558622653,289.9094325538384
